Date,Open,High,Low,Close
04/21/97 00:00:00,1.1428,1.1533,1.1421,1.1533
04/22/97 00:00:00,1.1523,1.1529,1.1396,1.1399
04/23/97 00:00:00,1.1401,1.144,1.1381,1.1416
04/24/97 00:00:00,1.1418,1.1432,1.1364,1.1408
04/25/97 00:00:00,1.1404,1.1408,1.1313,1.1322
04/28/97 00:00:00,1.1315,1.1336,1.1245,1.1289
04/29/97 00:00:00,1.1289,1.1358,1.1282,1.1333
04/30/97 00:00:00,1.1336,1.1366,1.1275,1.1297
05/01/97 00:00:00,1.13,1.1394,1.1282,1.1355
05/02/97 00:00:00,1.1358,1.137,1.1305,1.1311
05/05/97 00:00:00,1.1311,1.133,1.1283,1.129
05/06/97 00:00:00,1.1292,1.1376,1.1275,1.1353
05/07/97 00:00:00,1.1351,1.1392,1.1326,1.1379
05/08/97 00:00:00,1.138,1.1474,1.135,1.1451
05/09/97 00:00:00,1.1451,1.1621,1.1448,1.1592
05/12/97 00:00:00,1.1592,1.1726,1.1456,1.1459
05/13/97 00:00:00,1.1461,1.1553,1.1444,1.1545
05/14/97 00:00:00,1.1547,1.1567,1.1448,1.1545
05/15/97 00:00:00,1.1539,1.1597,1.15,1.1517
05/16/97 00:00:00,1.1523,1.1583,1.1476,1.1557
05/19/97 00:00:00,1.1559,1.1583,1.1428,1.145
05/20/97 00:00:00,1.1449,1.1659,1.1424,1.1659
05/21/97 00:00:00,1.1674,1.1695,1.1527,1.1539
05/22/97 00:00:00,1.1547,1.159,1.1501,1.1541
05/23/97 00:00:00,1.1549,1.1585,1.1535,1.1549
05/26/97 00:00:00,1.1554,1.1656,1.1554,1.1598
05/27/97 00:00:00,1.1598,1.1601,1.1456,1.1468
05/28/97 00:00:00,1.1466,1.1574,1.1456,1.1539
05/29/97 00:00:00,1.154,1.1548,1.146,1.1529
05/30/97 00:00:00,1.1531,1.1544,1.1438,1.1467
06/02/97 00:00:00,1.1463,1.149,1.129,1.1304
06/03/97 00:00:00,1.1303,1.1355,1.1287,1.1322
06/04/97 00:00:00,1.1322,1.1333,1.1279,1.1315
06/05/97 00:00:00,1.1314,1.1346,1.13,1.1317
06/06/97 00:00:00,1.1317,1.1355,1.1226,1.1341
06/09/97 00:00:00,1.1339,1.1488,1.1323,1.1462
06/10/97 00:00:00,1.1465,1.1476,1.1365,1.1382
06/11/97 00:00:00,1.1381,1.1448,1.1376,1.1399
06/12/97 00:00:00,1.1396,1.1401,1.1305,1.1314
06/13/97 00:00:00,1.131,1.1324,1.1235,1.1264
06/16/97 00:00:00,1.1257,1.1322,1.1245,1.1297
06/17/97 00:00:00,1.1294,1.1316,1.1254,1.13
06/18/97 00:00:00,1.1305,1.1353,1.1278,1.1285
06/19/97 00:00:00,1.1285,1.1361,1.1265,1.1349
06/20/97 00:00:00,1.1348,1.1364,1.1288,1.1322
06/23/97 00:00:00,1.1296,1.1386,1.129,1.1381
06/24/97 00:00:00,1.1382,1.1399,1.1322,1.1349
06/25/97 00:00:00,1.1348,1.1383,1.133,1.1349
06/26/97 00:00:00,1.1357,1.1357,1.1311,1.1335
06/27/97 00:00:00,1.1336,1.1343,1.1244,1.1249
06/30/97 00:00:00,1.124,1.1268,1.12,1.1207
07/01/97 00:00:00,1.1206,1.1244,1.1182,1.1199
07/02/97 00:00:00,1.1199,1.1224,1.1144,1.1153
07/03/97 00:00:00,1.1149,1.1197,1.1136,1.1165
